appid,name,developer,publisher,owners,average_forever,average_2weeks,median_forever,median_2weeks,ccu,price,competitive,avgNumberOfPlayersLast30Days,userPercentage
236390,War Thunder,Gaijin Entertainment,Gaijin Network Ltd,"20,000,000 .. 50,000,000",6369,933,298,444,87670,0,No,61860,0.19465684886245635
438100,VRChat,VRChat Inc.,VRChat Inc.,"10,000,000 .. 20,000,000",1438,870,128,264,44916,0,No,38834,0.12220019509739136
275850,No Man's Sky,Hello Games,Hello Games,"5,000,000 .. 10,000,000",3236,975,1040,365,24984,5999,No,20970,0.0659869725290286
739630,Phasmophobia,Kinetic Games,Kinetic Games,"10,000,000 .. 20,000,000",2108,215,1004,128,23916,1999,No,20142,0.06338147833474936
629520,Soundpad,Leppsoft,Leppsoft,"2,000,000 .. 5,000,000",17608,887,5171,485,21883,499,No,14281,0.04493848138707952
1551360,Forza Horizon 5,Playground Games,Xbox Game Studios,"5,000,000 .. 10,000,000",4439,96,1193,35,14128,5999,No,11610,0.03653355989804588
244210,Assetto Corsa,Kunos Simulazioni,Kunos Simulazioni,"5,000,000 .. 10,000,000",4650,583,435,200,16826,1999,No,10075,0.03170332609584946
242760,The Forest,Endnight Games Ltd,Endnight Games Ltd,"20,000,000 .. 50,000,000",1547,183,755,157,10532,1999,No,8794,0.027672362251801506
1293830,Forza Horizon 4,Playground Games,Xbox Game Studios,"5,000,000 .. 10,000,000",1825,210,602,295,9373,0,No,7082,0.022285156864596117
2050650,Resident Evil 4,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","5,000,000 .. 10,000,000",1833,139,1411,144,6879,3999,No,6631,0.02086598067906479
264710,Subnautica,Unknown Worlds Entertainment,Unknown Worlds Entertainment,"2,000,000 .. 5,000,000",2419,97,1682,176,6353,2999,No,5801,0.018254193020548162
286160,Tabletop Simulator,Berserk Games,Berserk Games,"2,000,000 .. 5,000,000",1615,8,610,8,7469,1999,No,5717,0.017989867522577804
1250410,Microsoft Flight Simulator 40th Anniversary Edition,Asobo Studio,Xbox Game Studios,"2,000,000 .. 5,000,000",20403,0,1898,0,7355,5999,No,4758,0.014972151420749551
359320,Elite Dangerous,Frontier Developments,Frontier Developments,"2,000,000 .. 5,000,000",4112,187,1033,187,6068,1999,No,4419,0.013905409232512036
1009850,OVR Advanced Settings,OVRAS Team,OVRAS Team,"500,000 .. 1,000,000",10507,3424,5328,6429,4275,799,No,3614,0.011372289876962774
2488620,F1 24,Codemasters,Electronic Arts,"200,000 .. 500,000",4730,105,6487,204,4899,6999,Yes,3408,0.010724063060511659
1659040,HITMAN World of Assassination,IO Interactive A/S,IO Interactive A/S,"1,000,000 .. 2,000,000",1388,0,504,0,4359,999,No,3361,0.010576166650933007
1943950,Escape the Backrooms,Fancy Games,Fancy Games,"2,000,000 .. 5,000,000",461,0,363,0,3599,999,No,3167,0.009965700619906228
1066780,Transport Fever 2,Urban Games,Good Shepherd Entertainment,"500,000 .. 1,000,000",3376,0,3053,0,4452,3999,No,3011,0.009474810409389849
655500,MX Bikes,PiBoSo,PiBoSo,"1,000,000 .. 2,000,000",9426,1430,12516,2837,4190,3499,No,3003,0.00944963655244029
380600,Fishing Planet,Fishing Planet LLC,Fishing Planet LLC,"2,000,000 .. 5,000,000",1217,0,78,0,4536,0,No,2973,0.00935523458887945
392160,X4: Foundations,Egosoft,Egosoft,"1,000,000 .. 2,000,000",5397,0,4533,0,6032,4999,No,2683,0.008442682274457975
613100,House Flipper,Empyrean,"Frozen District, PlayWay S.A.","2,000,000 .. 5,000,000",929,0,517,0,2957,2499,No,2493,0.007844803171905976
2537590,Microsoft Flight Simulator 2024,Asobo Studio,Xbox Game Studios,"100,000 .. 200,000",1150,0,1150,0,3828,6999,No,2486,0.007822776047075113
805550,Assetto Corsa Competizione,Kunos Simulazioni,505 Games,"1,000,000 .. 2,000,000",8646,0,929,0,4056,3999,Yes,2401,0.00755530381698606
2420110,Horizon Forbidden West Complete Edition,"Guerrilla, Nixxes Software",PlayStation Publishing LLC,"500,000 .. 1,000,000",5209,0,5782,0,3497,5999,No,2388,0.007514396299443028
3097560,Liar's Bar,Curve Animation,Curve Animation,"2,000,000 .. 5,000,000",197,85,128,69,2368,699,No,2150,0.006765474055193682
1290000,PowerWash Simulator,FuturLab,Square Enix,"1,000,000 .. 2,000,000",3579,334,772,334,2174,2499,No,1899,0.005975644293401303
1244460,Jurassic World Evolution 2,Frontier Developments,Frontier Developments,"1,000,000 .. 2,000,000",928,791,763,791,3125,5999,No,1816,0.0057144655275496396
635260,CarX Drift Racing Online,"CarX Technologies, LLC","CarX Technologies, LLC","1,000,000 .. 2,000,000",1883,0,965,0,2267,1499,No,1734,0.005456433493816672
767560,War Robots,MY.GAMES HOLDINGS LTD,MY.GAMES HOLDINGS LTD,"2,000,000 .. 5,000,000",739,648,41,648,2221,0,No,1697,0.005340004405424966
1173510,XSOverlay,Xiexe,Xiexe,"200,000 .. 500,000",1,0,1,0,2201,999,No,1609,0.005063091978979829
1190000,Car Mechanic Simulator 2021,Red Dot Games,PlayWay S.A.,"1,000,000 .. 2,000,000",1785,0,1420,0,2026,2499,No,1579,0.004968690015418988
1029690,Sniper Elite 5,Rebellion,Rebellion,"2,000,000 .. 5,000,000",623,0,310,0,2020,4999,No,1514,0.00476415242770383
471710,Rec Room,Rec Room,Rec Room,"1,000,000 .. 2,000,000",274,0,129,0,1998,0,No,1419,0.004465212876427829
786520,SAO Utils: Beta,Joshua Chen,Studio GPBeta,"200,000 .. 500,000",115959,0,76615,0,1927,399,No,1356,0.004266968752950061
1196590,Resident Evil Village,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","2,000,000 .. 5,000,000",1184,0,970,0,1406,3999,No,1242,0.003908241291418862
690790,DiRT Rally 2.0,Codemasters,"Codemasters, Electronic Arts","1,000,000 .. 2,000,000",1335,0,228,0,1829,1999,No,1168,0.0036753831146354513
1068820,OVR Toolkit - Desktop Overlay,Curtis English,VoxelLoop Software Limited,"500,000 .. 1,000,000",1874,0,2669,0,1630,999,No,1133,0.0035652474904811354
1533390,Gorilla Tag,Another Axiom Inc.,Another Axiom Inc.,"1,000,000 .. 2,000,000",890,0,255,0,2136,1999,No,1119,0.003521193240819409
431240,Golf With Your Friends,"Blacklight Interactive, Team17",Team17,"2,000,000 .. 5,000,000",941,12,501,21,1591,1499,No,1057,0.0033260958494603352
223750,DCS World Steam Edition,Eagle Dynamics SA,Eagle Dynamics SA,"2,000,000 .. 5,000,000",415,557,65,557,1461,0,No,1036,0.003260014474967746
493340,Planet Coaster,"Frontier Developments, Aspyr (Mac)","Frontier Developments, Aspyr (Mac)","2,000,000 .. 5,000,000",6043,6,434,6,1257,4499,No,1010,0.0031781994398816828
418370,Resident Evil 7 Biohazard,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","2,000,000 .. 5,000,000",828,211,486,310,993,1999,No,952,0.002995688976997388
670290,Real Pool 3D - Poolians,Poolians.com,Poolians.com,"1,000,000 .. 2,000,000",351,316,104,316,1372,0,No,945,0.002973661852166525
2967990,Train Sim World 5,Dovetail Games,Dovetail Games - TSW,"50,000 .. 100,000",0,0,0,0,1259,4999,No,848,0.0026684288366531357
1583320,Pro Soccer Online,Skywall Studios LLC,Skywall Studios LLC,"500,000 .. 1,000,000",2060,0,1262,0,1923,999,Yes,838,0.0026369615154661886
1066890,Automobilista 2,Reiza Studios,Reiza Studios,"200,000 .. 500,000",978,0,1214,0,1411,3999,No,822,0.0025866138015670725
24010,Train Simulator Classic 2024,Dovetail Games,"Dovetail Games - Trains, Dovetail Games","1,000,000 .. 2,000,000",3344,91,338,167,1261,2999,No,765,0.002407250070801473
254700,Resident Evil 4 (2005),Capcom,Capcom,"2,000,000 .. 5,000,000",1270,0,1113,0,972,1999,No,750,0.0023600490890210517
2698940,The Crew Motorfest,Ubisoft Ivory Tower,Ubisoft,"100,000 .. 200,000",0,0,0,0,872,6999,No,747,0.0023506088926649672
1274570,DEVOUR,Straight Back Games,Straight Back Games,"2,000,000 .. 5,000,000",481,0,230,0,991,999,No,746,0.0023474621605462727
502500,ACE COMBAT 7: SKIES UNKNOWN,Bandai Namco Studios Inc.,Bandai Namco Entertainment,"2,000,000 .. 5,000,000",758,0,595,0,722,5999,No,729,0.002293967714528462
1849250,EA SPORTS WRC,Codemasters,Electronic Arts,"500,000 .. 1,000,000",369,0,477,0,1176,4999,No,720,0.0022656471254602095
2399420,Le Mans Ultimate,Studio 397,Studio 397,"200,000 .. 500,000",1480,962,1480,962,1773,3799,No,718,0.00225935366122282
1435790,Escape Simulator,Pine Studio,Pine Studio,"1,000,000 .. 2,000,000",883,11,409,11,688,1999,No,702,0.0022090059473237043
2440510,Forza Motorsport,Turn 10,Xbox Game Studios,"500,000 .. 1,000,000",523,0,620,0,781,6999,Yes,605,0.001903772931810315
